            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2459900.585416667, A.D. 2022-Nov-17 02:03:00.0000, -3.456473034515792E+05,  1.981564603049596E+05,  3.513528537543859E+04,            n.a.,            n.a.,            n.a.,
2459900.627083333, A.D. 2022-Nov-17 03:03:00.0000, -3.472617573550848E+05,  1.950316860280238E+05,  3.502613255098173E+04,            n.a.,            n.a.,            n.a.,
2459900.668750000, A.D. 2022-Nov-17 04:03:00.0000, -3.488476533365439E+05,  1.918907949007307E+05,  3.491409525191372E+04,            n.a.,            n.a.,            n.a.,
2459900.710416667, A.D. 2022-Nov-17 05:03:00.0000, -3.504048317511795E+05,  1.887340238300918E+05,  3.479917950630016E+04,            n.a.,            n.a.,            n.a.,
2459900.752083333, A.D. 2022-Nov-17 06:03:00.0000, -3.519331345509322E+05,  1.855616113526398E+05,  3.468139155318616E+04,            n.a.,            n.a.,            n.a.,
2459900.793750000, A.D. 2022-Nov-17 07:03:00.0000, -3.534324052997864E+05,  1.823737976326853E+05,  3.456073784342793E+04,            n.a.,            n.a.,            n.a.,
2459900.835416667, A.D. 2022-Nov-17 08:03:00.0000, -3.549024891893261E+05,  1.791708244604776E+05,  3.443722504053230E+04,            n.a.,            n.a.,            n.a.,
2459900.877083333, A.D. 2022-Nov-17 09:03:00.0000, -3.563432330545245E+05,  1.759529352502656E+05,  3.431086002150353E+04,            n.a.,            n.a.,            n.a.,
2459900.918750000, A.D. 2022-Nov-17 10:03:00.0000, -3.577544853897673E+05,  1.727203750382501E+05,  3.418164987769796E+04,            n.a.,            n.a.,            n.a.,
2459900.960416667, A.D. 2022-Nov-17 11:03:00.0000, -3.591360963651104E+05,  1.694733904804224E+05,  3.404960191568499E+04,            n.a.,            n.a.,            n.a.,
2459901.002083333, A.D. 2022-Nov-17 12:03:00.0000, -3.604879178427762E+05,  1.662122298502827E+05,  3.391472365811521E+04,            n.a.,            n.a.,            n.a.,
2459901.043750000, A.D. 2022-Nov-17 13:03:00.0000, -3.618098033938851E+05,  1.629371430364313E+05,  3.377702284459415E+04,            n.a.,            n.a.,            n.a.,
2459901.085416667, A.D. 2022-Nov-17 14:03:00.0000, -3.631016083154282E+05,  1.596483815400244E+05,  3.363650743256236E+04,            n.a.,            n.a.,            n.a.,
2459901.127083333, A.D. 2022-Nov-17 15:03:00.0000, -3.643631896474769E+05,  1.563461984720911E+05,  3.349318559818028E+04,            n.a.,            n.a.,            n.a.,
2459901.168750000, A.D. 2022-Nov-17 16:03:00.0000, -3.655944061906348E+05,  1.530308485507003E+05,  3.334706573721868E+04,            n.a.,            n.a.,            n.a.,
2459901.210416667, A.D. 2022-Nov-17 17:03:00.0000, -3.667951185237291E+05,  1.497025880979747E+05,  3.319815646595306E+04,            n.a.,            n.a.,            n.a.,
2459901.252083333, A.D. 2022-Nov-17 18:03:00.0000, -3.679651890217435E+05,  1.463616750369408E+05,  3.304646662206243E+04,            n.a.,            n.a.,            n.a.,
2459901.293750000, A.D. 2022-Nov-17 19:03:00.0000, -3.691044818739931E+05,  1.430083688882107E+05,  3.289200526553155E+04,            n.a.,            n.a.,            n.a.,
2459901.335416667, A.D. 2022-Nov-17 20:03:00.0000, -3.702128631025405E+05,  1.396429307664876E+05,  3.273478167955634E+04,            n.a.,            n.a.,            n.a.,
2459901.377083333, A.D. 2022-Nov-17 21:03:00.0000, -3.712902005808540E+05,  1.362656233768856E+05,  3.257480537145188E+04,            n.a.,            n.a.,            n.a.,
2459901.418750000, A.D. 2022-Nov-17 22:03:00.0000, -3.723363640527070E+05,  1.328767110110600E+05,  3.241208607356245E+04,            n.a.,            n.a.,            n.a.,
2459901.460416667, A.D. 2022-Nov-17 23:03:00.0000, -3.733512251513195E+05,  1.294764595431370E+05,  3.224663374417320E+04,            n.a.,            n.a.,            n.a.,
2459901.502083333, A.D. 2022-Nov-18 00:03:00.0000, -3.743346574187403E+05,  1.260651364254374E+05,  3.207845856842294E+04,            n.a.,            n.a.,            n.a.,
2459901.543750000, A.D. 2022-Nov-18 01:03:00.0000, -3.752865363254696E+05,  1.226430106839858E+05,  3.190757095921713E+04,            n.a.,            n.a.,            n.a.,
2459901.585416667, A.D. 2022-Nov-18 02:03:00.0000, -3.762067392903214E+05,  1.192103529137974E+05,  3.173398155814117E+04,            n.a.,            n.a.,            n.a.,
2459901.627083333, A.D. 2022-Nov-18 03:03:00.0000, -3.770951457005246E+05,  1.157674352739347E+05,  3.155770123637270E+04,            n.a.,            n.a.,            n.a.,
2459901.668750000, A.D. 2022-Nov-18 04:03:00.0000, -3.779516369320627E+05,  1.123145314823267E+05,  3.137874109559265E+04,            n.a.,            n.a.,            n.a.,
2459901.710416667, A.D. 2022-Nov-18 05:03:00.0000, -3.787760963702488E+05,  1.088519168103413E+05,  3.119711246889472E+04,            n.a.,            n.a.,            n.a.,
2459901.752083333, A.D. 2022-Nov-18 06:03:00.0000, -3.795684094305370E+05,  1.053798680771043E+05,  3.101282692169183E+04,            n.a.,            n.a.,            n.a.,
2459901.793750000, A.D. 2022-Nov-18 07:03:00.0000, -3.803284635795669E+05,  1.018986636435556E+05,  3.082589625261986E+04,            n.a.,            n.a.,            n.a.,
2459901.835416667, A.D. 2022-Nov-18 08:03:00.0000, -3.810561483564400E+05,  9.840858340623599E+04,  3.063633249443724E+04,            n.a.,            n.a.,            n.a.,
2459901.877083333, A.D. 2022-Nov-18 09:03:00.0000, -3.817513553942261E+05,  9.490990879079403E+04,  3.044414791492021E+04,            n.a.,            n.a.,            n.a.,
2459901.918750000, A.D. 2022-Nov-18 10:03:00.0000, -3.824139784416980E+05,  9.140292274520703E+04,  3.024935501775282E+04,            n.a.,            n.a.,            n.a.,
2459901.960416667, A.D. 2022-Nov-18 11:03:00.0000, -3.830439133852907E+05,  8.788790973270635E+04,  3.005196654341102E+04,            n.a.,            n.a.,            n.a.,
2459902.002083333, A.D. 2022-Nov-18 12:03:00.0000, -3.836410582712843E+05,  8.436515572439898E+04,  2.985199547004016E+04,            n.a.,            n.a.,            n.a.,
2459902.043750000, A.D. 2022-Nov-18 13:03:00.0000, -3.842053133282078E+05,  8.083494819157719E+04,  2.964945501432505E+04,            n.a.,            n.a.,            n.a.,
2459902.085416667, A.D. 2022-Nov-18 14:03:00.0000, -3.847365809894584E+05,  7.729757609770747E+04,  2.944435863235187E+04,            n.a.,            n.a.,            n.a.,
2459902.127083333, A.D. 2022-Nov-18 15:03:00.0000, -3.852347659161373E+05,  7.375332989009030E+04,  2.923672002046135E+04,            n.a.,            n.a.,            n.a.,
2459902.168750000, A.D. 2022-Nov-18 16:03:00.0000, -3.856997750200945E+05,  7.020250149118243E+04,  2.902655311609207E+04,            n.a.,            n.a.,            n.a.,
2459902.210416667, A.D. 2022-Nov-18 17:03:00.0000, -3.861315174871822E+05,  6.664538428957267E+04,  2.881387209861339E+04,            n.a.,            n.a.,            n.a.,
2459902.252083333, A.D. 2022-Nov-18 18:03:00.0000, -3.865299048007110E+05,  6.308227313060305E+04,  2.859869139014704E+04,            n.a.,            n.a.,            n.a.,
2459902.293750000, A.D. 2022-Nov-18 19:03:00.0000, -3.868948507651062E+05,  5.951346430662622E+04,  2.838102565637661E+04,            n.a.,            n.a.,            n.a.,
2459902.335416667, A.D. 2022-Nov-18 20:03:00.0000, -3.872262715297593E+05,  5.593925554689088E+04,  2.816088980734396E+04,            n.a.,            n.a.,            n.a.,
2459902.377083333, A.D. 2022-Nov-18 21:03:00.0000, -3.875240856130697E+05,  5.235994600704634E+04,  2.793829899823195E+04,            n.a.,            n.a.,            n.a.,
2459902.418750000, A.D. 2022-Nov-18 22:03:00.0000, -3.877882139266741E+05,  4.877583625825759E+04,  2.771326863013226E+04,            n.a.,            n.a.,            n.a.,
2459902.460416667, A.D. 2022-Nov-18 23:03:00.0000, -3.880185797998555E+05,  4.518722827592219E+04,  2.748581435079775E+04,            n.a.,            n.a.,            n.a.,
2459902.502083333, A.D. 2022-Nov-19 00:03:00.0000, -3.882151090041295E+05,  4.159442542798034E+04,  2.725595205537826E+04,            n.a.,            n.a.,            n.a.,
2459902.543750000, A.D. 2022-Nov-19 01:03:00.0000, -3.883777297780008E+05,  3.799773246280954E+04,  2.702369788713883E+04,            n.a.,            n.a.,            n.a.,
2459902.585416667, A.D. 2022-Nov-19 02:03:00.0000, -3.885063728518849E+05,  3.439745549669505E+04,  2.678906823815976E+04,            n.a.,            n.a.,            n.a.,
2459902.627083333, A.D. 2022-Nov-19 03:03:00.0000, -3.886009714731885E+05,  3.079390200086757E+04,  2.655207975001716E+04,            n.a.,            n.a.,            n.a.,
2459902.668750000, A.D. 2022-Nov-19 04:03:00.0000, -3.886614614315437E+05,  2.718738078809961E+04,  2.631274931444327E+04,            n.a.,            n.a.,            n.a.,
2459902.710416667, A.D. 2022-Nov-19 05:03:00.0000, -3.886877810841880E+05,  2.357820199885194E+04,  2.607109407396549E+04,            n.a.,            n.a.,            n.a.,
2459902.752083333, A.D. 2022-Nov-19 06:03:00.0000, -3.886798713814841E+05,  1.996667708696155E+04,  2.582713142252318E+04,            n.a.,            n.a.,            n.a.,
2459902.793750000, A.D. 2022-Nov-19 07:03:00.0000, -3.886376758925740E+05,  1.635311880486271E+04,  2.558087900606110E+04,            n.a.,            n.a.,            n.a.,
2459902.835416667, A.D. 2022-Nov-19 08:03:00.0000, -3.885611408311566E+05,  1.273784118833256E+04,  2.533235472309859E+04,            n.a.,            n.a.,            n.a.,
2459902.877083333, A.D. 2022-Nov-19 09:03:00.0000, -3.884502150813854E+05,  9.121159540753057E+03,  2.508157672527347E+04,            n.a.,            n.a.,            n.a.,
2459902.918750000, A.D. 2022-Nov-19 10:03:00.0000, -3.883048502238759E+05,  5.503390416880789E+03,  2.482856341785947E+04,            n.a.,            n.a.,            n.a.,
2459902.960416667, A.D. 2022-Nov-19 11:03:00.0000, -3.881250005618160E+05,  1.884851606116480E+03,  2.457333346025632E+04,            n.a.,            n.a.,            n.a.,
2459903.002083333, A.D. 2022-Nov-19 12:03:00.0000, -3.879106231471696E+05, -1.734137884733957E+03,  2.431590576645126E+04,            n.a.,            n.a.,            n.a.,
2459903.043750000, A.D. 2022-Nov-19 13:03:00.0000, -3.876616778069671E+05, -5.353257849214908E+03,  2.405629950545106E+04,            n.a.,            n.a.,            n.a.,
2459903.085416667, A.D. 2022-Nov-19 14:03:00.0000, -3.873781271696719E+05, -8.972186899501095E+03,  2.379453410168326E+04,            n.a.,            n.a.,            n.a.,
2459903.127083333, A.D. 2022-Nov-19 15:03:00.0000, -3.870599366916152E+05, -1.259060248520997E+04,  2.353062923536574E+04,            n.a.,            n.a.,            n.a.,
2459903.168750000, A.D. 2022-Nov-19 16:03:00.0000, -3.867070746834879E+05, -1.620818091275431E+04,  2.326460484284335E+04,            n.a.,            n.a.,            n.a.,
2459903.210416667, A.D. 2022-Nov-19 17:03:00.0000, -3.863195123368831E+05, -1.982459736524257E+04,  2.299648111689054E+04,            n.a.,            n.a.,            n.a.,
2459903.252083333, A.D. 2022-Nov-19 18:03:00.0000, -3.858972237508750E+05, -2.343952592293464E+04,  2.272627850697890E+04,            n.a.,            n.a.,            n.a.,
2459903.293750000, A.D. 2022-Nov-19 19:03:00.0000, -3.854401859586282E+05, -2.705263958426025E+04,  2.245401771950833E+04,            n.a.,            n.a.,            n.a.,
2459903.335416667, A.D. 2022-Nov-19 20:03:00.0000, -3.849483789540234E+05, -3.066361028740729E+04,  2.217971971800089E+04,            n.a.,            n.a.,            n.a.,
2459903.377083333, A.D. 2022-Nov-19 21:03:00.0000, -3.844217857182909E+05, -3.427210893248725E+04,  2.190340572325608E+04,            n.a.,            n.a.,            n.a.,
2459903.418750000, A.D. 2022-Nov-19 22:03:00.0000, -3.838603922466401E+05, -3.787780540428462E+04,  2.162509721346628E+04,            n.a.,            n.a.,            n.a.,
2459903.460416667, A.D. 2022-Nov-19 23:03:00.0000, -3.832641875748731E+05, -4.148036859559684E+04,  2.134481592429138E+04,            n.a.,            n.a.,            n.a.,
2459903.502083333, A.D. 2022-Nov-20 00:03:00.0000, -3.826331638059717E+05, -4.507946643117167E+04,  2.106258384889133E+04,            n.a.,            n.a.,            n.a.,
2459903.543750000, A.D. 2022-Nov-20 01:03:00.0000, -3.819673161366450E+05, -4.867476589224814E+04,  2.077842323791540E+04,            n.a.,            n.a.,            n.a.,
2459903.585416667, A.D. 2022-Nov-20 02:03:00.0000, -3.812666428838259E+05, -5.226593304170742E+04,  2.049235659944705E+04,            n.a.,            n.a.,            n.a.,
2459903.627083333, A.D. 2022-Nov-20 03:03:00.0000, -3.805311455111042E+05, -5.585263304983936E+04,  2.020440669890318E+04,            n.a.,            n.a.,            n.a.,
2459903.668750000, A.D. 2022-Nov-20 04:03:00.0000, -3.797608286550820E+05, -5.943453022073051E+04,  1.991459655888651E+04,            n.a.,            n.a.,            n.a.,
2459903.710416667, A.D. 2022-Nov-20 05:03:00.0000, -3.789557001516410E+05, -6.301128801927962E+04,  1.962294945899013E+04,            n.a.,            n.a.,            n.a.,
2459903.752083333, A.D. 2022-Nov-20 06:03:00.0000, -3.781157710621055E+05, -6.658256909884486E+04,  1.932948893555265E+04,            n.a.,            n.a.,            n.a.,
2459903.793750000, A.D. 2022-Nov-20 07:03:00.0000, -3.772410556992894E+05, -7.014803532952888E+04,  1.903423878136316E+04,            n.a.,            n.a.,            n.a.,
2459903.835416667, A.D. 2022-Nov-20 08:03:00.0000, -3.763315716534130E+05, -7.370734782710591E+04,  1.873722304531453E+04,            n.a.,            n.a.,            n.a.,
2459903.877083333, A.D. 2022-Nov-20 09:03:00.0000, -3.753873398178746E+05, -7.726016698259542E+04,  1.843846603200402E+04,            n.a.,            n.a.,            n.a.,
2459903.918750000, A.D. 2022-Nov-20 10:03:00.0000, -3.744083844148634E+05, -8.080615249248658E+04,  1.813799230127995E+04,            n.a.,            n.a.,            n.a.,
2459903.960416667, A.D. 2022-Nov-20 11:03:00.0000, -3.733947330207983E+05, -8.434496338961778E+04,  1.783582666773314E+04,            n.a.,            n.a.,            n.a.,
2459904.002083333, A.D. 2022-Nov-20 12:03:00.0000, -3.723464165915791E+05, -8.787625807471423E+04,  1.753199420013227E+04,            n.a.,            n.a.,            n.a.,
2459904.043750000, A.D. 2022-Nov-20 13:03:00.0000, -3.712634694876326E+05, -9.139969434858755E+04,  1.722652022080163E+04,            n.a.,            n.a.,            n.a.,
2459904.085416667, A.D. 2022-Nov-20 14:03:00.0000, -3.701459294987402E+05, -9.491492944499990E+04,  1.691943030494022E+04,            n.a.,            n.a.,            n.a.,
2459904.127083333, A.D. 2022-Nov-20 15:03:00.0000, -3.689938378686309E+05, -9.842162006419558E+04,  1.661075027988115E+04,            n.a.,            n.a.,            n.a.,
2459904.168750000, A.D. 2022-Nov-20 16:03:00.0000, -3.678072393193228E+05, -1.019194224071022E+05,  1.630050622429014E+04,            n.a.,            n.a.,            n.a.,
2459904.210416667, A.D. 2022-Nov-20 17:03:00.0000, -3.665861820751981E+05, -1.054079922102039E+05,  1.598872446730179E+04,            n.a.,            n.a.,            n.a.,
2459904.252083333, A.D. 2022-Nov-20 18:03:00.0000, -3.653307178867954E+05, -1.088869847810868E+05,  1.567543158759281E+04,            n.a.,            n.a.,            n.a.,
2459904.293750000, A.D. 2022-Nov-20 19:03:00.0000, -3.640409020543016E+05, -1.123560550346600E+05,  1.536065441239082E+04,            n.a.,            n.a.,            n.a.,
2459904.335416667, A.D. 2022-Nov-20 20:03:00.0000, -3.627167934507272E+05, -1.158148575300518E+05,  1.504442001641789E+04,            n.a.,            n.a.,            n.a.,
